iter	Passed	Remaining
450	1106	1347
451	1125	1365
452	1141	1378
453	1143	1375
454	1145	1372
455	1147	1369
456	1153	1371
457	1156	1368
458	1159	1366
459	1161	1363
460	1169	1367
461	1171	1364
462	1174	1361
463	1175	1358
464	1178	1356
465	1191	1365
466	1194	1362
467	1198	1362
468	1200	1359
469	1202	1355
470	1203	1352
471	1213	1357
472	1218	1357
473	1220	1353
474	1223	1352
475	1225	1349
476	1230	1348
477	1231	1345
478	1233	1341
479	1236	1339
480	1239	1337
481	1247	1340
482	1250	1337
483	1252	1334
484	1254	1331
485	1256	1328
486	1259	1327
487	1261	1323
488	1276	1334
489	1278	1330
490	1281	1328
491	1286	1328
492	1291	1328
493	1305	1337
494	1318	1345
495	1320	1341
496	1324	1340
497	1328	1339
498	1330	1335
499	1332	1332
500	1334	1329
501	1340	1329
502	1342	1326
503	1344	1323
504	1348	1321
505	1350	1318
506	1352	1315
507	1359	1317
508	1363	1315
509	1366	1313
510	1369	1310
511	1371	1306
512	1373	1304
513	1386	1311
514	1390	1309
515	1392	1306
516	1394	1303
517	1396	1299
518	1398	1296
519	1406	1298
520	1408	1295
521	1410	1291
522	1412	1288
523	1414	1285
524	1421	1286
525	1423	1282
526	1425	1279
527	1429	1277
528	1432	1275
529	1435	1272
530	1437	1269
531	1447	1273
532	1451	1271
533	1463	1277
534	1465	1274
535	1468	1270
536	1476	1273
537	1479	1270
538	1481	1267
539	1483	1263
540	1495	1268
541	1498	1266
542	1500	1263
543	1506	1262
544	1513	1263
545	1515	1259
546	1519	1258
547	1524	1257
548	1528	1255
549	1532	1253
550	1538	1253
551	1543	1252
552	1546	1249
553	1547	1245
554	1551	1244
555	1554	1241
556	1556	1237
557	1562	1237
558	1571	1239
559	1574	1237
560	1592	1246
561	1604	1250
562	1606	1247
563	1609	1244
564	1686	1298
565	1689	1295
566	1691	1291
567	1695	1289
568	1701	1288
569	1703	1284
570	1741	1308
571	1743	1304
572	1744	1300
573	1751	1299
574	1754	1296
575	1756	1292
576	1757	1288
577	1759	1284
578	1855	1349
579	1857	1345
580	1872	1350
581	1886	1354
582	1887	1350
583	1889	1346
584	1897	1346
585	1900	1342
586	1902	1338
587	1904	1334
588	1906	1330
589	1911	1327
590	1914	1324
591	1916	1320
592	1917	1316
593	1920	1312
594	1922	1308
595	1924	1304
596	1926	1300
597	1935	1301
598	1970	1319
599	1973	1315
600	1975	1311
601	1979	1308
602	1980	1304
603	1982	1299
604	1983	1295
605	1985	1290
606	1986	1286
607	1988	1281
608	1989	1277
609	1990	1272
610	1994	1269
611	1996	1265
612	1997	1261
613	1999	1256
614	2000	1252
615	2002	1248
616	2003	1243
617	2005	1239
618	2006	1235
619	2010	1232
620	2012	1228
621	2015	1224
622	2017	1221
623	2019	1216
624	2020	1212
625	2022	1208
626	2026	1205
627	2028	1201
628	2029	1197
629	2031	1192
630	2032	1188
631	2033	1184
632	2035	1180
633	2036	1175
634	2040	1173
635	2042	1168
636	2043	1164
637	2045	1160
638	2046	1156
639	2047	1151
640	2049	1147
641	2050	1143
642	2051	1139
643	2055	1136
644	2056	1131
645	2058	1127
646	2059	1123
647	2061	1119
648	2062	1115
649	2064	1111
650	2065	1107
651	2067	1103
652	2071	1100
653	2072	1096
654	2074	1092
655	2076	1088
656	2077	1084
657	2079	1080
658	2080	1076
659	2082	1072
660	2086	1070
661	2089	1066
662	2091	1062
663	2093	1059
664	2097	1056
665	2105	1055
666	2108	1052
667	2110	1048
668	2112	1045
669	2122	1045
670	2124	1041
671	2126	1037
672	2127	1033
673	2129	1030
674	2139	1030
675	2141	1026
676	2143	1022
677	2150	1021
678	2153	1018
679	2155	1014
680	2167	1015
681	2169	1011
682	2171	1008
683	2181	1007
684	2183	1004
685	2185	1000
686	2187	996
687	2205	1000
688	2216	1000
689	2219	996
690	2220	992
691	2221	988
692	2229	987
693	2230	983
694	2232	979
695	2233	975
696	2234	971
697	2236	967
698	2241	965
699	2243	961
700	2244	957
701	2246	953
702	2247	949
703	2249	945
704	2250	941
705	2251	937
706	2256	935
707	2258	931
708	2260	927
709	2261	923
710	2262	919
711	2264	915
712	2265	912
713	2269	909
714	2271	905
715	2273	901
716	2274	897
717	2276	893
718	2277	890
719	2279	886
720	2280	882
721	2281	878
722	2286	875
723	2287	871
